"team","vegas_proj_wins","date"
"Indiana Pacers",25.5,2025-11-22
"Indiana Pacers",25.5,2025-11-23
"Indiana Pacers",25.5,2025-11-24
"Indiana Pacers",24.5,2025-11-25
"Indiana Pacers",24.75,2025-11-26
"Los Angeles Clippers",48.1666666666667,2025-10-29
"Los Angeles Clippers",47.8333333333333,2025-10-30
"Los Angeles Clippers",47.3333333333333,2025-10-31
"Los Angeles Clippers",48.8333333333333,2025-11-01
"Los Angeles Clippers",48.8333333333333,2025-11-02
"Los Angeles Clippers",48.875,2025-11-03
"Los Angeles Clippers",47.5,2025-11-04
"Los Angeles Clippers",48,2025-11-05
"Los Angeles Clippers",47.8333333333333,2025-11-06
"Los Angeles Clippers",47,2025-11-07
"Los Angeles Clippers",46,2025-11-08
"Los Angeles Clippers",45.5,2025-11-09
"Los Angeles Clippers",45.5,2025-11-10
"Los Angeles Clippers",44.5,2025-11-11
"Los Angeles Clippers",44,2025-11-12
"Los Angeles Clippers",43.3333333333333,2025-11-13
"Los Angeles Clippers",43,2025-11-14
"Los Angeles Clippers",42.5,2025-11-15
"Los Angeles Clippers",43,2025-11-16
"Los Angeles Clippers",42.25,2025-11-17
"Los Angeles Clippers",42,2025-11-18
"Los Angeles Clippers",41.3333333333333,2025-11-19
"Los Angeles Clippers",40.6666666666667,2025-11-20
"Los Angeles Clippers",40,2025-11-21
"Los Angeles Clippers",40,2025-11-22
"Los Angeles Clippers",40,2025-11-23
"Los Angeles Clippers",40.5,2025-11-24
"Los Angeles Clippers",40,2025-11-25
"Los Angeles Clippers",40.5,2025-11-26
"Los Angeles Lakers",45.5,2025-10-29
"Los Angeles Lakers",46.6666666666667,2025-10-30
"Los Angeles Lakers",46.6666666666667,2025-10-31
"Los Angeles Lakers",47.6666666666667,2025-11-01
"Los Angeles Lakers",47.6666666666667,2025-11-02
"Los Angeles Lakers",48.5,2025-11-03
"Los Angeles Lakers",50,2025-11-04
"Los Angeles Lakers",49.625,2025-11-05
"Los Angeles Lakers",49.8333333333333,2025-11-06
"Los Angeles Lakers",49.6666666666667,2025-11-07
"Los Angeles Lakers",50.1666666666667,2025-11-08
"Los Angeles Lakers",50,2025-11-09
"Los Angeles Lakers",49.6666666666667,2025-11-10
"Los Angeles Lakers",50,2025-11-11
"Los Angeles Lakers",50.8333333333333,2025-11-12
"Los Angeles Lakers",51.8333333333333,2025-11-13
"Los Angeles Lakers",52,2025-11-14
"Los Angeles Lakers",51.5,2025-11-15
"Los Angeles Lakers",51.5,2025-11-16
"Los Angeles Lakers",51.5,2025-11-17
"Los Angeles Lakers",52.5,2025-11-18
"Los Angeles Lakers",52.5,2025-11-19
"Los Angeles Lakers",52.5,2025-11-20
"Los Angeles Lakers",52.3333333333333,2025-11-21
"Los Angeles Lakers",53,2025-11-22
"Los Angeles Lakers",52.25,2025-11-23
"Los Angeles Lakers",53,2025-11-24
"Los Angeles Lakers",53.1666666666667,2025-11-25
"Los Angeles Lakers",52.5,2025-11-26
"Memphis Grizzlies",43.375,2025-10-29
"Memphis Grizzlies",42.625,2025-10-30
"Memphis Grizzlies",39.3333333333333,2025-10-31
"Memphis Grizzlies",36.5,2025-11-01
"Memphis Grizzlies",36.5,2025-11-02
"Memphis Grizzlies",35.5,2025-11-03
"Memphis Grizzlies",35.8333333333333,2025-11-04
"Memphis Grizzlies",35.8333333333333,2025-11-05
"Memphis Grizzlies",35.5,2025-11-06
"Memphis Grizzlies",35.5,2025-11-07
"Memphis Grizzlies",35.5,2025-11-08
"Memphis Grizzlies",34.75,2025-11-09
"Memphis Grizzlies",34.5,2025-11-10
"Memphis Grizzlies",33.75,2025-11-11
"Memphis Grizzlies",33.1666666666667,2025-11-12
"Memphis Grizzlies",33.1666666666667,2025-11-13
"Memphis Grizzlies",33.5,2025-11-14
"Memphis Grizzlies",33.3333333333333,2025-11-15
"Memphis Grizzlies",33.3333333333333,2025-11-16
"Memphis Grizzlies",33.5,2025-11-17
"Memphis Grizzlies",31,2025-11-18
"Memphis Grizzlies",31.5,2025-11-19
"Memphis Grizzlies",31.5,2025-11-20
"Memphis Grizzlies",31,2025-11-21
"Memphis Grizzlies",31,2025-11-22
"Memphis Grizzlies",31,2025-11-23
"Memphis Grizzlies",32.5,2025-11-24
"Memphis Grizzlies",32,2025-11-25
"Memphis Grizzlies",31.75,2025-11-26
"Miami Heat",40.3333333333333,2025-10-29
"Miami Heat",40.3333333333333,2025-10-30
"Miami Heat",42.5,2025-10-31
"Miami Heat",42.75,2025-11-01
"Miami Heat",42.75,2025-11-02
"Miami Heat",41.5,2025-11-03
"Miami Heat",41.5,2025-11-04
"Miami Heat",41.8333333333333,2025-11-05
"Miami Heat",42.5,2025-11-06
"Miami Heat",42.6666666666667,2025-11-07
"Miami Heat",42.75,2025-11-08
"Miami Heat",43,2025-11-09
"Miami Heat",42.6666666666667,2025-11-10
"Miami Heat",43.75,2025-11-11
"Miami Heat",43.8333333333333,2025-11-12
"Miami Heat",43.5,2025-11-13
"Miami Heat",43.5,2025-11-14
"Miami Heat",43.8333333333333,2025-11-15
"Miami Heat",44,2025-11-16
"Miami Heat",43.6666666666667,2025-11-17
"Miami Heat",45,2025-11-18
"Miami Heat",44.8333333333333,2025-11-19
"Miami Heat",45.5,2025-11-20
"Miami Heat",46,2025-11-21
"Miami Heat",46,2025-11-22
"Miami Heat",46,2025-11-23
"Miami Heat",46,2025-11-24
"Miami Heat",47,2025-11-25
"Miami Heat",47,2025-11-26
"Milwaukee Bucks",44.1666666666667,2025-10-29
"Milwaukee Bucks",44.5,2025-10-30
"Milwaukee Bucks",46.25,2025-10-31
"Milwaukee Bucks",46.25,2025-11-01
"Milwaukee Bucks",47,2025-11-02
"Milwaukee Bucks",46.8333333333333,2025-11-03
"Milwaukee Bucks",46.5,2025-11-04
"Milwaukee Bucks",46.8333333333333,2025-11-05
"Milwaukee Bucks",46.8333333333333,2025-11-06
"Milwaukee Bucks",46.8333333333333,2025-11-07
"Milwaukee Bucks",46.5,2025-11-08
"Milwaukee Bucks",46.5,2025-11-09
"Milwaukee Bucks",45.5,2025-11-10
"Milwaukee Bucks",47,2025-11-11
"Milwaukee Bucks",46.8333333333333,2025-11-12
"Milwaukee Bucks",45.5,2025-11-13
"Milwaukee Bucks",45.5,2025-11-14
"Milwaukee Bucks",46.8333333333333,2025-11-15
"Milwaukee Bucks",46.8333333333333,2025-11-16
"Milwaukee Bucks",47,2025-11-17
"Milwaukee Bucks",44.5,2025-11-18
"Milwaukee Bucks",43.8333333333333,2025-11-19
"Milwaukee Bucks",43.8333333333333,2025-11-20
"Milwaukee Bucks",43,2025-11-21
"Milwaukee Bucks",43,2025-11-22
"Milwaukee Bucks",42.5,2025-11-23
"Milwaukee Bucks",42.5,2025-11-24
"Milwaukee Bucks",42.3333333333333,2025-11-25
"Milwaukee Bucks",42,2025-11-26
"Minnesota Timberwolves",48.5,2025-10-29
"Minnesota Timberwolves",47.8333333333333,2025-10-30
"Minnesota Timberwolves",47.8333333333333,2025-10-31
"Minnesota Timberwolves",47.8333333333333,2025-11-01
"Minnesota Timberwolves",47.5,2025-11-02
"Minnesota Timberwolves",47.5,2025-11-03
"Minnesota Timberwolves",49,2025-11-04
"Minnesota Timberwolves",49,2025-11-05
"Minnesota Timberwolves",49,2025-11-06
"Minnesota Timberwolves",49,2025-11-07
"Minnesota Timberwolves",48.25,2025-11-08
"Minnesota Timberwolves",48.25,2025-11-09
"Minnesota Timberwolves",49,2025-11-10
"Minnesota Timberwolves",48.5,2025-11-11
"Minnesota Timberwolves",48.5,2025-11-12
"Minnesota Timberwolves",48.5,2025-11-13
"Minnesota Timberwolves",48.5,2025-11-14
"Minnesota Timberwolves",49.75,2025-11-15
"Minnesota Timberwolves",50,2025-11-16
"Minnesota Timberwolves",50,2025-11-17
"Minnesota Timberwolves",50,2025-11-18
"Minnesota Timberwolves",49.625,2025-11-19
"Minnesota Timberwolves",50,2025-11-20
"Minnesota Timberwolves",50,2025-11-21
"Minnesota Timberwolves",50,2025-11-22
"Minnesota Timberwolves",50,2025-11-23
"Minnesota Timberwolves",49.8333333333333,2025-11-24
"Minnesota Timberwolves",49.5,2025-11-25
"Minnesota Timberwolves",50,2025-11-26
"New Orleans Pelicans",29.625,2025-10-29
"New Orleans Pelicans",29.6666666666667,2025-10-30
"New Orleans Pelicans",29.5,2025-10-31
"New Orleans Pelicans",29.8333333333333,2025-11-01
"New Orleans Pelicans",29.5,2025-11-02
"New Orleans Pelicans",29.5,2025-11-03
"New Orleans Pelicans",29,2025-11-04
"New Orleans Pelicans",29.5,2025-11-05
"New Orleans Pelicans",30.25,2025-11-06
"New Orleans Pelicans",30.25,2025-11-07
"New Orleans Pelicans",29,2025-11-08
"New Orleans Pelicans",28.5,2025-11-09
"New Orleans Pelicans",27.8333333333333,2025-11-10
"New Orleans Pelicans",27.5,2025-11-11
"New Orleans Pelicans",27.5,2025-11-12
"New Orleans Pelicans",26.1666666666667,2025-11-13
"New Orleans Pelicans",26.3333333333333,2025-11-14
"New Orleans Pelicans",26,2025-11-15
"New Orleans Pelicans",26.5,2025-11-16
"New Orleans Pelicans",24.5,2025-11-17
"New Orleans Pelicans",24.5,2025-11-18
"New Orleans Pelicans",24.5,2025-11-19
"New Orleans Pelicans",23.1666666666667,2025-11-20
"New Orleans Pelicans",23.1666666666667,2025-11-21
"New Orleans Pelicans",23.1666666666667,2025-11-22
"New Orleans Pelicans",23.1666666666667,2025-11-23
"New Orleans Pelicans",23.5,2025-11-24
"New Orleans Pelicans",23.1666666666667,2025-11-25
"New Orleans Pelicans",23.25,2025-11-26
"New York Knicks",51.5,2025-10-29
"New York Knicks",51.5,2025-10-30
"New York Knicks",51.5,2025-10-31
"New York Knicks",50.5,2025-11-01
"New York Knicks",50.5,2025-11-02
"New York Knicks",50.5,2025-11-03
"New York Knicks",51.8333333333333,2025-11-04
"New York Knicks",51.8333333333333,2025-11-05
"New York Knicks",52,2025-11-06
"New York Knicks",52,2025-11-07
"New York Knicks",52,2025-11-08
"New York Knicks",52,2025-11-09
"New York Knicks",51.75,2025-11-10
"New York Knicks",51.6666666666667,2025-11-11
"New York Knicks",51.8333333333333,2025-11-12
"New York Knicks",51.5,2025-11-13
"New York Knicks",51.5,2025-11-14
"New York Knicks",51.5,2025-11-15
"New York Knicks",51.5,2025-11-16
"New York Knicks",51.5,2025-11-17
"New York Knicks",51.8333333333333,2025-11-18
"New York Knicks",51.6666666666667,2025-11-19
"New York Knicks",51.5,2025-11-20
"New York Knicks",51.5,2025-11-21
"New York Knicks",51.5,2025-11-22
"New York Knicks",51.5,2025-11-23
"New York Knicks",51.75,2025-11-24
"New York Knicks",51.5,2025-11-25
"New York Knicks",51.5,2025-11-26
"Oklahoma City Thunder",64,2025-10-29
"Oklahoma City Thunder",64,2025-10-30
"Oklahoma City Thunder",63.5,2025-10-31
"Oklahoma City Thunder",63.5,2025-11-01
"Oklahoma City Thunder",63.5,2025-11-02
"Oklahoma City Thunder",63.5,2025-11-03
"Oklahoma City Thunder",64.5,2025-11-04
"Oklahoma City Thunder",64.8333333333333,2025-11-05
"Oklahoma City Thunder",64.6666666666667,2025-11-06
"Oklahoma City Thunder",64.8333333333333,2025-11-07
"Oklahoma City Thunder",64.75,2025-11-08
"Oklahoma City Thunder",64,2025-11-09
"Oklahoma City Thunder",64.75,2025-11-10
"Oklahoma City Thunder",64.6666666666667,2025-11-11
"Oklahoma City Thunder",65.5,2025-11-12
"Oklahoma City Thunder",65.3333333333333,2025-11-13
"Oklahoma City Thunder",65.6666666666667,2025-11-14
"Oklahoma City Thunder",65.5,2025-11-15
"Oklahoma City Thunder",65.5,2025-11-16
"Oklahoma City Thunder",65.5,2025-11-17
"Oklahoma City Thunder",66.8333333333333,2025-11-18
"Oklahoma City Thunder",66.8333333333333,2025-11-19
"Oklahoma City Thunder",66.5,2025-11-20
"Oklahoma City Thunder",66.5,2025-11-21
"Oklahoma City Thunder",66.5,2025-11-22
"Oklahoma City Thunder",66.5,2025-11-23
"Oklahoma City Thunder",67.5,2025-11-24
"Oklahoma City Thunder",67.5,2025-11-25
"Oklahoma City Thunder",67.5,2025-11-26
"Orlando Magic",48,2025-10-29
"Orlando Magic",47,2025-10-30
"Orlando Magic",47,2025-10-31
"Orlando Magic",47,2025-11-01
"Orlando Magic",46.5,2025-11-02
"Orlando Magic",46.6666666666667,2025-11-03
"Orlando Magic",46.6666666666667,2025-11-04
"Orlando Magic",45.6666666666667,2025-11-05
"Orlando Magic",45.6666666666667,2025-11-06
